nombre,url_site,url_rss,url_scraping,metodo,categoria_default,idioma,region,pais,activo,tier
Publishers Weekly,https://www.publishersweekly.com/pw/by-topic/industry-news,,https://www.publishersweekly.com/pw/by-topic/industry-news,scraping,noticias,en,us,us,true,2
The Bookseller,https://www.thebookseller.com,,https://www.thebookseller.com/news,scraping,noticias,en,uk,gb,true,2
Publishing Perspectives,https://publishingperspectives.com,https://publishingperspectives.com/feed,,rss,noticias,en,us,us,true,2
Livres Hebdo,https://www.livreshebdo.fr,https://www.livreshebdo.fr/feed,,rss,noticias,fr,eu,fr,true,2
El País Babelia,https://elpais.com/babelia/,https://feeds.elpais.com/mrss-s/pages/ep/site/elpais.com/section/babelia/portada,,rss,noticias,es,eu,es,true,1
El Mundo Cultura,https://www.elmundo.es/cultura.html,https://e00-elmundo.uecdn.es/elmundo/rss/cultura.xml,,rss,noticias,es,eu,es,true,2
La Vanguardia Cultura,https://www.lavanguardia.com/cultura,https://www.lavanguardia.com/rss/cultura.xml,,rss,noticias,es,eu,es,true,2
ABC Cultura,https://www.abc.es/cultura/,https://www.abc.es/rss/feeds/abc_Cultura.xml,,rss,noticias,es,eu,es,true,2
Cinco Días Cultura,https://cincodias.elpais.com/cultura/,,https://cincodias.elpais.com/cultura/,scraping,noticias,es,eu,es,true,2
Le Monde Livres,https://www.lemonde.fr/livres/,https://www.lemonde.fr/livres/rss_full.xml,,rss,noticias,fr,eu,fr,true,1
Le Figaro Livres,https://www.lefigaro.fr/livres,https://www.lefigaro.fr/rss/figaro_culture.xml,,rss,noticias,fr,eu,fr,true,2
Libération Livres,https://www.liberation.fr/culture/livres/,https://www.liberation.fr/arc/outboundfeeds/rss/category/culture/livres/,,rss,noticias,fr,eu,fr,true,2
FAZ Feuilleton,https://www.faz.net/aktuell/feuilleton/,https://www.faz.net/rss/aktuell/feuilleton/,,rss,noticias,de,eu,de,true,1
Süddeutsche Kultur,https://www.sueddeutsche.de/kultur,https://rss.sueddeutsche.de/rss/Kultur,,rss,noticias,de,eu,de,true,2
Die Welt Kultur,https://www.welt.de/kultur/,https://www.welt.de/feeds/section/kultur.rss,,rss,noticias,de,eu,de,true,2
